Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
Iman Shumpert,107,.418,256,76,.333,228,129,23,13,227,183,.378,484,53,.746,71,74,58,NBA,1962,81,209,495,Iman Shumpert,SG,92,2013-14,79,308,NYK,.457
Iman Shumpert,126,.458,275,67,.342,196,135,24,16,169,193,.410,471,43,.672,64,62,25,NBA,1545,55,138,496,Iman Shumpert,SG,81,2014-15,91,224,TOT,.481
Iman Shumpert,65,.436,149,23,.348,66,78,24,3,59,88,.409,215,25,.676,37,24,24,NBA,625,22,67,224,Iman Shumpert,SG,30,2014-15,42,81,NYK,.463
Iman Shumpert,61,.484,126,44,.338,130,57,24,13,110,105,.410,256,18,.667,27,38,1,NBA,920,33,71,272,Iman Shumpert,SG,51,2014-15,49,143,CLE,.496
Alexey Shved,151,.435,347,85,.295,288,286,24,27,134,236,.372,635,108,.720,150,77,16,NBA,1840,41,117,665,Alexey Shved,SG,54,2012-13,147,175,MIN,.439
Alexey Shved,46,.341,135,30,.294,102,68,25,16,60,76,.321,237,68,.756,90,63,0,NBA,664,21,36,250,Alexey Shved,SG,26,2013-14,48,81,MIN,.384
Alexey Shved,86,.439,196,47,.338,139,106,26,6,76,133,.397,335,121,.807,150,42,9,NBA,767,23,48,434,Alexey Shved,SG,30,2014-15,48,99,TOT,.467
Alexey Shved,35,.479,73,17,.298,57,46,26,1,14,52,.400,130,48,.842,57,17,0,NBA,285,8,21,169,Alexey Shved,SG,14,2014-15,18,22,PHI,.465
Alexey Shved,4,.333,12,4,.333,12,3,26,0,3,8,.333,24,9,.818,11,9,0,NBA,59,1,2,29,Alexey Shved,SG,1,2014-15,5,4,HOU,.417
Alexey Shved,47,.423,111,26,.371,70,57,26,5,59,73,.403,181,64,.780,82,16,9,NBA,423,14,25,236,Alexey Shved,SG,15,2014-15,25,73,NYK,.475
Xavier Silas,3,.333,9,1,.167,6,3,24,0,2,4,.267,15,2,.667,3,2,0,NBA,39,2,5,11,Xavier Silas,SG,0,2011-12,3,4,PHI,.300
Jonathon Simmons,15,.517,29,1,.167,6,10,26,0,10,16,.457,35,13,.765,17,8,0,NBA,105,3,12,46,Jonathon Simmons,SG,3,2015-16,8,13,SAS,.471
Henry Sims,2,.667,3,0,NA,0,0,22,0,0,2,.667,3,0,NA,0,2,0,NBA,5,2,1,4,Henry Sims,C,0,2012-13,1,2,NOH,.667
Henry Sims,130,.476,273,0,.000,1,52,23,20,133,130,.474,274,90,.744,121,46,25,NBA,875,104,116,350,Henry Sims,C,28,2013-14,41,237,TOT,.474
Henry Sims,18,.400,45,0,NA,0,5,23,7,34,18,.400,45,8,.571,14,20,0,NBA,168,22,32,44,Henry Sims,C,5,2013-14,8,56,CLE,.400
Henry Sims,112,.491,228,0,.000,1,47,23,13,99,112,.489,229,82,.766,107,26,25,NBA,707,82,84,306,Henry Sims,C,23,2013-14,33,181,PHI,.489
Henry Sims,234,.488,480,4,.182,22,79,24,30,238,238,.474,502,106,.774,137,73,32,NBA,1399,121,135,586,Henry Sims,C,39,2014-15,99,359,PHI,.478
Kyle Singler,205,.464,442,70,.350,200,77,24,37,221,275,.428,642,100,.806,124,82,74,NBA,2293,109,217,720,Kyle Singler,SF,57,2012-13,98,330,DET,.483
Kyle Singler,175,.492,356,94,.382,246,75,25,38,187,269,.447,602,152,.826,184,82,36,NBA,2337,116,211,784,Kyle Singler,SF,61,2013-14,79,303,DET,.525
Kyle Singler,76,.371,205,96,.398,241,85,26,21,161,172,.386,446,40,.769,52,80,58,NBA,1743,33,153,480,Kyle Singler,SF,47,2014-15,55,194,TOT,.493
Kyle Singler,64,.393,163,76,.406,187,67,26,14,116,140,.400,350,29,.806,36,54,40,NBA,1287,23,98,385,Kyle Singler,SF,33,2014-15,42,139,DET,.509
Kyle Singler,12,.286,42,20,.370,54,18,26,7,45,32,.333,96,11,.688,16,26,18,NBA,456,10,55,95,Kyle Singler,SF,14,2014-15,13,55,OKC,.438
Kyle Singler,6,.286,21,6,.200,30,0,27,3,22,12,.235,51,5,.500,10,16,1,NBA,193,5,35,35,Kyle Singler,SF,10,2015-16,12,27,OKC,.294
Chris Singleton,72,.389,185,44,.346,127,49,22,30,190,116,.372,312,30,.682,44,66,51,NBA,1431,43,176,306,Chris Singleton,SF,70,2011-12,38,233,WAS,.442
Chris Singleton,85,.415,205,7,.194,36,37,23,24,133,92,.382,241,40,.571,70,57,11,NBA,924,51,124,231,Chris Singleton,PF,38,2012-13,45,184,WAS,.396
Chris Singleton,18,.375,48,7,.368,19,6,24,3,37,25,.373,67,18,.720,25,25,0,NBA,250,18,25,75,Chris Singleton,SF,9,2013-14,17,55,WAS,.425
Peyton Siva,11,.344,32,7,.280,25,34,23,1,12,18,.316,57,11,.733,15,24,0,NBA,224,2,27,54,Peyton Siva,SG,9,2013-14,18,14,DET,.377
Donald Sloan,77,.445,173,2,.080,25,105,24,3,49,79,.399,198,23,.767,30,33,11,NBA,669,18,37,183,Donald Sloan,PG,13,2011-12,49,67,TOT,.404
Donald Sloan,3,.429,7,0,.000,1,5,24,0,4,3,.375,8,0,NA,0,5,0,NBA,20,1,3,6,Donald Sloan,PG,1,2011-12,2,5,ATL,.375
Donald Sloan,5,.417,12,0,.000,2,8,24,0,1,5,.357,14,2,.500,4,3,0,NBA,41,2,2,12,Donald Sloan,PG,2,2011-12,5,3,NOH,.357
Donald Sloan,69,.448,154,2,.091,22,92,24,3,44,71,.403,176,21,.808,26,25,11,NBA,608,15,32,165,Donald Sloan,PG,10,2011-12,42,59,CLE,.409
Donald Sloan,20,.339,59,7,.368,19,38,25,0,25,27,.346,78,20,.800,25,23,0,NBA,263,3,17,81,Donald Sloan,SG-PG,5,2012-13,14,28,TOT,.391
Donald Sloan,20,.339,59,7,.368,19,37,25,0,25,27,.346,78,20,.800,25,20,0,NBA,257,3,17,81,Donald Sloan,SG,5,2012-13,13,28,CLE,.391
Donald Sloan,0,NA,0,0,NA,0,1,25,0,0,0,NA,0,0,NA,0,3,0,NBA,6,0,0,0,Donald Sloan,PG,0,2012-13,1,0,NOH,NA
Donald Sloan,34,.453,75,10,.238,42,50,26,1,40,44,.376,117,12,.600,20,48,1,NBA,392,4,19,110,Donald Sloan,SG,10,2013-14,22,44,IND,.419
Donald Sloan,104,.464,224,41,.313,131,190,27,0,131,145,.408,355,60,.779,77,53,21,NBA,1107,12,47,391,Donald Sloan,PG,23,2014-15,65,143,IND,.466
Donald Sloan,1,.167,6,0,NA,0,2,28,0,1,1,.167,6,2,1.000,2,4,0,NBA,28,1,1,4,Donald Sloan,PG,2,2015-16,2,2,BRK,.167
Marcus Smart,84,.410,205,91,.335,272,208,20,18,161,175,.367,477,82,.646,127,67,38,NBA,1808,61,176,523,Marcus Smart,PG,99,2014-15,90,222,BOS,.462
Marcus Smart,18,.429,42,10,.238,42,29,21,3,26,28,.333,84,22,.688,32,9,8,NBA,262,8,28,88,Marcus Smart,PG,16,2015-16,15,34,BOS,.393
Chris Smith,0,NA,0,0,NA,0,0,26,0,0,0,NA,0,0,NA,0,2,0,NBA,2,0,0,0,Chris Smith,PG,0,2013-14,0,0,NYK,NA
Greg Smith,7,.636,11,0,NA,0,1,21,5,15,7,.636,11,0,NA,0,8,0,NBA,69,5,17,14,Greg Smith,C,2,2011-12,1,20,HOU,.636
Greg Smith,170,.623,273,0,.000,1,25,22,40,210,170,.620,274,81,.623,130,70,10,NBA,1110,111,175,421,Greg Smith,C,18,2012-13,41,321,HOU,.620
Greg Smith,18,.643,28,0,NA,0,0,23,2,16,18,.643,28,2,.400,5,11,0,NBA,100,11,17,38,Greg Smith,C,1,2013-14,5,27,HOU,.643
Greg Smith,30,.612,49,0,NA,0,9,24,11,53,30,.612,49,20,.513,39,42,2,NBA,363,26,53,80,Greg Smith,PF,7,2014-15,11,79,DAL,.612
Ish Smith,40,.381,105,3,.300,10,79,22,2,40,43,.374,115,12,.571,21,43,3,NBA,442,7,37,101,Ish Smith,PG,18,2010-11,34,47,TOT,.387
Ish Smith,29,.387,75,3,.375,8,64,22,2,36,32,.386,83,7,.700,10,28,3,NBA,329,6,26,74,Ish Smith,PG,13,2010-11,26,42,HOU,.404
Ish Smith,11,.367,30,0,.000,2,15,22,0,4,11,.344,32,5,.455,11,15,0,NBA,113,1,11,27,Ish Smith,PG,5,2010-11,8,5,MEM,.344
Ish Smith,28,.389,72,3,.333,9,41,23,2,28,31,.383,81,7,.700,10,26,1,NBA,234,7,15,72,Ish Smith,PG,15,2011-12,13,35,TOT,.401
Ish Smith,10,.400,25,2,.400,5,9,23,0,7,12,.400,30,1,.500,2,6,1,NBA,63,2,4,27,Ish Smith,PG,4,2011-12,1,9,GSW,.433
Ish Smith,18,.383,47,1,.250,4,32,23,2,21,19,.373,51,6,.750,8,20,0,NBA,171,5,11,45,Ish Smith,PG,11,2011-12,12,26,ORL,.382
Ish Smith,48,.364,132,8,.296,27,87,24,9,49,56,.352,159,3,.429,7,52,3,NBA,516,12,26,123,Ish Smith,PG,21,2012-13,37,61,TOT,.377
Ish Smith,35,.354,99,4,.235,17,57,24,6,35,39,.336,116,3,.429,7,36,3,NBA,378,11,14,85,Ish Smith,PG,13,2012-13,27,46,ORL,.353
Ish Smith,13,.394,33,4,.400,10,30,24,3,14,17,.395,43,0,NA,0,16,0,NBA,138,1,12,38,Ish Smith,PG,8,2012-13,10,15,MIL,.442
